Model ensemble: ['9b(30%)', 'deepseek(20%)', 'opus(50%)']

Starting FunSearch v5 (infinite, 5 islands)
  Dataset: LoCoMo-full-all, dim=256, α=1.0, η=0.01
  Eval: 9999 questions × 1 rounds
  Mixed fitness: 70% clean + 30% noisy (80% accuracy)
  Samples/iter: 12 (parallel LLM)
  Models: 9b:0(0f) deepseek:0(0f) opus:0(0f)
  Already evaluated: 369 programs
  Current best: 26.0% (gen107-island4-002)
  Iter 369: 10/12 valid, best=26.0%, islands=[25.8%, 26.0%, 24.2%, 25.0%, 26.0%] [9b:3(0f) deepseek:5(0f) opus:4(0f)] (1713s)
  Iter 370: 10/11 valid, best=26.0%, islands=[25.8%, 26.0%, 24.2%, 25.0%, 26.0%] [9b:8(1f) deepseek:7(0f) opus:9(0f)] (319s)
  Iter 371: 9/10 valid, best=26.0%, islands=[25.8%, 26.0%, 24.2%, 25.0%, 26.0%] [9b:12(3f) deepseek:10(0f) opus:14(0f)] (416s)
  Iter 372: 9/11 valid, best=26.0%, islands=[25.8%, 26.0%, 26.0%, 26.0%, 26.0%] [9b:15(4f) deepseek:13(0f) opus:20(0f)] (325s)
  Iter 373: 10/12 valid, best=26.0%, islands=[25.8%, 26.0%, 26.0%, 26.0%, 26.0%] [9b:16(4f) deepseek:14(0f) opus:30(0f)] (1139s)
  Iter 374: 11/11 valid, best=26.0%, islands=[25.8%, 26.0%, 26.0%, 26.0%, 26.0%] [9b:18(5f) deepseek:18(0f) opus:36(0f)] (760s)
  Iter 375: 10/10 valid, best=26.0%, islands=[25.8%, 26.0%, 26.0%, 26.0%, 26.0%] [9b:23(7f) deepseek:20(0f) opus:41(0f)] (731s)
  Iter 376: 6/7 valid, best=26.0%, islands=[25.8%, 26.0%, 26.0%, 26.0%, 26.0%] [9b:30(12f) deepseek:21(0f) opus:45(0f)] (234s)
  Iter 377: 7/12 valid, best=26.0%, islands=[26.0%, 26.0%, 26.0%, 26.0%, 26.0%] [9b:32(12f) deepseek:25(0f) opus:51(0f)] (2383s)
  Iter 378: 9/11 valid, best=26.0%, islands=[26.0%, 26.0%, 26.0%, 26.0%, 26.0%] [9b:36(13f) deepseek:30(0f) opus:54(0f)] (343s)
  Iter 379: 5/12 valid, best=26.0%, islands=[26.0%, 26.0%, 26.0%, 26.0%, 26.0%] [9b:39(13f) deepseek:35(0f) opus:58(0f)] (1936s)
  Iter 380: 6/11 valid, best=26.0%, islands=[26.0%, 26.0%, 26.0%, 26.0%, 26.0%] [9b:42(14f) deepseek:37(0f) opus:65(0f)] (2146s)
  ★ NEW BEST: 26.1% (clean=26.1%, noisy=26.1%, gen381-island3-000, model=opus)
  Iter 381: 5/6 valid, best=26.1%, islands=[26.0%, 26.0%, 26.0%, 26.1%, 26.0%] [9b:49(20f) deepseek:38(0f) opus:69(0f)] (224s)
  Iter 382: 9/11 valid, best=26.1%, islands=[26.0%, 26.0%, 26.0%, 26.1%, 26.0%] [9b:52(21f) deepseek:38(0f) opus:78(0f)] (1088s)
  Iter 383: 7/11 valid, best=26.1%, islands=[26.0%, 26.0%, 26.0%, 26.1%, 26.0%] [9b:55(22f) deepseek:41(0f) opus:84(0f)] (1509s)
  Iter 384: 8/11 valid, best=26.1%, islands=[26.0%, 26.0%, 26.0%, 26.1%, 26.0%] [9b:58(22f) deepseek:45(0f) opus:89(0f)] (961s)
  Iter 385: 8/12 valid, best=26.1%, islands=[26.0%, 26.0%, 26.0%, 26.1%, 26.0%] [9b:61(22f) deepseek:49(0f) opus:94(0f)] (1527s)
  Iter 386: 7/10 valid, best=26.1%, islands=[26.0%, 26.0%, 26.0%, 26.1%, 26.0%] [9b:65(24f) deepseek:51(0f) opus:100(0f)] (1234s)
  Iter 387: 9/10 valid, best=26.1%, islands=[26.0%, 26.0%, 26.0%, 26.1%, 26.0%] [9b:71(26f) deepseek:54(0f) opus:103(0f)] (436s)
  Iter 388: 7/12 valid, best=26.1%, islands=[26.0%, 26.0%, 26.0%, 26.1%, 26.0%] [9b:74(26f) deepseek:56(0f) opus:110(0f)] (2745s)
  Iter 389: 7/11 valid, best=26.1%, islands=[26.0%, 26.0%, 26.0%, 26.1%, 26.0%] [9b:76(26f) deepseek:59(0f) opus:117(0f)] (1958s)
  Iter 390: 6/8 valid, best=26.1%, islands=[26.0%, 26.0%, 26.0%, 26.1%, 26.0%] [9b:80(28f) deepseek:61(0f) opus:123(2f)] (313s)
  Iter 391: 9/12 valid, best=26.1%, islands=[26.0%, 26.0%, 26.0%, 26.1%, 26.0%] [9b:83(28f) deepseek:62(0f) opus:131(2f)] (1535s)
  Iter 392: 10/12 valid, best=26.1%, islands=[26.0%, 26.0%, 26.0%, 26.1%, 26.0%] [9b:85(28f) deepseek:64(0f) opus:139(2f)] (341s)
  Iter 393: 9/10 valid, best=26.1%, islands=[26.0%, 26.0%, 26.0%, 26.1%, 26.0%] [9b:88(30f) deepseek:68(0f) opus:144(2f)] (231s)
  Iter 394: 6/11 valid, best=26.1%, islands=[26.0%, 26.0%, 26.0%, 26.1%, 26.0%] [9b:92(31f) deepseek:68(0f) opus:152(2f)] (1086s)
  Iter 395: 8/11 valid, best=26.1%, islands=[26.0%, 26.0%, 26.0%, 26.1%, 26.0%] [9b:95(32f) deepseek:69(0f) opus:160(2f)] (973s)
